Q		ㅃ
W		ㅉ
E		ㄸ
R		ㄲ
T		ㅆ
q		ㅂ
w		ㅈ
e		ㄷ
r		ㄱ
t		ㅅ
y		ㅛ
u		ㅕ
i		ㅑ
o		ㅐ
p		ㅔ
O		ㅒ
P		ㅖ
a		ㅁ
s		ㄴ
d		ㅇ
f		ㄹ
g		ㅎ
h		ㅗ
j		ㅓ
k		ㅏ
l		ㅣ
z		ㅋ
x		ㅌ
c		ㅊ
v		ㅍ
b		ㅠ
n		ㅜ
m		ㅡ
ㄱk		가
가r		각
가R		갂
각t		갃
가s		간
간w		갅
간g		갆
가e		갇
가f		갈
갈r		갉
갈a		갊
갈q		갋
갈t		갌
갈x		갍
갈v		갎
갈g		갏
가a		감
가q		갑
갑t		값
가t		갓
가T		갔
가d		강
가w		갖
가c		갗
가z		갘
가x		같
가v		갚
가g		갛
ㄱo		개
개r		객
개R		갞
객t		갟
개s		갠
갠w		갡
갠g		갢
개e		갣
개f		갤
갤r		갥
갤a		갦
갤q		갧
갤t		갨
갤x		갩
갤v		갪
갤g		갫
개a		갬
개q		갭
갭t		갮
개t		갯
개T		갰
개d		갱
개w		갲
개c		갳
개z		갴
개x		갵
개v		갶
개g		갷
ㄱi		갸
갸r		갹
갸R		갺
갹t		갻
갸s		갼
갼w		갽
갼g		갾
갸e		갿
갸f		걀
걀r		걁
걀a		걂
걀q		걃
걀t		걄
걀x		걅
걀v		걆
걀g		걇
갸a		걈
갸q		걉
걉t		걊
갸t		걋
갸T		걌
갸d		걍
갸w		걎
갸c		걏
갸z		걐
갸x		걑
갸v		걒
갸g		걓
ㄱO		걔
걔r		걕
걔R		걖
걕t		걗
걔s		걘
걘w		걙
걘g		걚
걔e		걛
걔f		걜
걜r		걝
걜a		걞
걜q		걟
걜t		걠
걜x		걡
걜v		걢
걜g		걣
걔a		걤
걔q		걥
걥t		걦
걔t		걧
걔T		걨
걔d		걩
걔w		걪
걔c		걫
걔z		걬
걔x		걭
걔v		걮
걔g		걯
ㄱj		거
거r		걱
거R		걲
걱t		걳
거s		건
건w		걵
건g		걶
거e		걷
거f		걸
걸r		걹
걸a		걺
걸q		걻
걸t		걼
걸x		걽
걸v		걾
걸g		걿
거a		검
거q		겁
겁t		겂
거t		것
거T		겄
거d		겅
거w		겆
거c		겇
거z		겈
거x		겉
거v		겊
거g		겋
ㄱp		게
게r		겍
게R		겎
겍t		겏
게s		겐
겐w		겑
겐g		겒
게e		겓
게f		겔
겔r		겕
겔a		겖
겔q		겗
겔t		겘
겔x		겙
겔v		겚
겔g		겛
게a		겜
게q		겝
겝t		겞
게t		겟
게T		겠
게d		겡
게w		겢
게c		겣
게z		겤
게x		겥
게v		겦
게g		겧
ㄱu		겨
겨r		격
겨R		겪
격t		겫
겨s		견
견w		겭
견g		겮
겨e		겯
겨f		결
결r		겱
결a		겲
결q		겳
결t		겴
결x		겵
결v		겶
결g		겷
겨a		겸
겨q		겹
겹t		겺
겨t		겻
겨T		겼
겨d		경
겨w		겾
겨c		겿
겨z		곀
겨x		곁
겨v		곂
겨g		곃
ㄱP		계
계r		곅
계R		곆
곅t		곇
계s		곈
곈w		곉
곈g		곊
계e		곋
계f		곌
곌r		곍
곌a		곎
곌q		곏
곌t		곐
곌x		곑
곌v		곒
곌g		곓
계a		곔
계q		곕
곕t		곖
계t		곗
계T		곘
계d		곙
계w		곚
계c		곛
계z		곜
계x		곝
계v		곞
계g		곟
ㄱh		고
고r		곡
고R		곢
곡t		곣
고s		곤
곤w		곥
곤g		곦
고e		곧
고f		골
골r		곩
골a		곪
골q		곫
골t		곬
골x		곭
골v		곮
골g		곯
고a		곰
고q		곱
곱t		곲
고t		곳
고T		곴
고d		공
고w		곶
고c		곷
고z		곸
고x		곹
고v		곺
고g		곻
고k		과
과r		곽
과R		곾
곽t		곿
과s		관
관w		괁
관g		괂
과e		괃
과f		괄
괄r		괅
괄a		괆
괄q		괇
괄t		괈
괄x		괉
괄v		괊
괄g		괋
과a		괌
과q		괍
괍t		괎
과t		괏
과T		괐
과d		광
과w		괒
과c		괓
과z		괔
과x		괕
과v		괖
과g		괗
고o		괘
괘r		괙
괘R		괚
괙t		괛
괘s		괜
괜w		괝
괜g		괞
괘e		괟
괘f		괠
괠r		괡
괠a		괢
괠q		괣
괠t		괤
괠x		괥
괠v		괦
괠g		괧
괘a		괨
괘q		괩
괩t		괪
괘t		괫
괘T		괬
괘d		괭
괘w		괮
괘c		괯
괘z		괰
괘x		괱
괘v		괲
괘g		괳
고l		괴
괴r		괵
괴R		괶
괵t		괷
괴s		괸
괸w		괹
괸g		괺
괴e		괻
괴f		괼
괼r		괽
괼a		괾
괼q		괿
괼t		굀
괼x		굁
괼v		굂
괼g		굃
괴a		굄
괴q		굅
굅t		굆
괴t		굇
괴T		굈
괴d		굉
괴w		굊
괴c		굋
괴z		굌
괴x		굍
괴v		굎
괴g		굏
ㄱy		교
교r		굑
교R		굒
굑t		굓
교s		굔
굔w		굕
굔g		굖
교e		굗
교f		굘
굘r		굙
굘a		굚
굘q		굛
굘t		굜
굘x		굝
굘v		굞
굘g		굟
교a		굠
교q		굡
굡t		굢
교t		굣
교T		굤
교d		굥
교w		굦
교c		굧
교z		굨
교x		굩
교v		굪
교g		굫
